"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"SYS_OBJ_12E4","00007220","Instruction Label","Global","Imported","2","0"
"SYS_OBJ_1320","0000725c","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_1324","00007260","Function","Global","User Defined","14","0"
"SYS_OBJ_13A4","000072e0","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_13C0","000072fc","Function","Global","Imported","0","0"
"SYS_OBJ_14DC","00007418","Instruction Label","Global","Imported","2","0"
"SYS_OBJ_1518","00007454","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_151C","00007458","Function","Global","User Defined","1","0"
"SYS_OBJ_1544","00007480","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_15BC","000074f8","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_1614","00007550","Function","Global","User Defined","5","0"
"SYS_OBJ_1630","0000756c","Function","Global","User Defined","0","0"
"SYS_OBJ_163C","00007578","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_1648","00007584","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_1650","0000758c","Function","Global","User Defined","0","0"
